scenario,n_rff,pi_clip,estimand,comparison,n_reps,posterior_mean_difference,abs_error_difference,posterior_sd_ratio,ci_width_ratio
strong_heterogeneous,200,0.02,population_ate_bb,meanfield_minus_full_raw,200,0.0005191725207404619,0.00012784079972744667,3.707127392108151,3.7118756980438574
strong_heterogeneous,200,0.02,sample_ate,meanfield_minus_full_raw,200,0.0005261249875915336,-0.0004009920750320134,3.826175155233293,3.8317908631694637
strong_homogeneous,200,0.02,population_ate_bb,meanfield_minus_full_raw,200,0.0010697612299969028,-0.0006865522986623829,3.9890560988920756,3.9941447854791217
strong_homogeneous,200,0.02,sample_ate,meanfield_minus_full_raw,200,0.0010008729118891264,-0.0007441837557077219,4.092331266720796,4.098913659764293
weak_heterogeneous,200,0.02,population_ate_bb,meanfield_minus_full_raw,200,0.0018885565397510913,0.0004949839815592099,3.3658020702000515,3.379340496478112
weak_heterogeneous,200,0.02,sample_ate,meanfield_minus_full_raw,200,0.0019594358442844816,0.0006700787134593478,3.4569064711361306,3.4616572178655396
weak_homogeneous,200,0.02,population_ate_bb,meanfield_minus_full_raw,200,0.00010496603355171441,8.164822973031782e-05,3.5646707542279272,3.5693257970165564
weak_homogeneous,200,0.02,sample_ate,meanfield_minus_full_raw,200,5.323726396869455e-05,6.02380161467081e-05,3.643722712192276,3.6556216714892984
strong_heterogeneous,200,0.02,population_ate_bb,meanfield_minus_full_onestep_logistic_pi,200,-0.0002591064684070277,-5.0793546620852e-05,1.1061573841097714,1.1092197900282184
strong_heterogeneous,200,0.02,sample_ate,meanfield_minus_full_onestep_logistic_pi,200,-0.00014866190507552334,2.313363404936597e-05,1.119440128624348,1.1212964568147388
strong_homogeneous,200,0.02,population_ate_bb,meanfield_minus_full_onestep_logistic_pi,200,-0.0001993047126601738,-0.00026807557968502925,1.1055869862359486,1.1087974815478647
strong_homogeneous,200,0.02,sample_ate,meanfield_minus_full_onestep_logistic_pi,200,4.898070579630987e-05,-0.000106386962241517,1.1167134130439837,1.121270749622314
weak_heterogeneous,200,0.02,population_ate_bb,meanfield_minus_full_onestep_logistic_pi,200,-0.00018748350154120574,0.0004339792170461165,1.1204506264193304,1.1216962440354337
weak_heterogeneous,200,0.02,sample_ate,meanfield_minus_full_onestep_logistic_pi,200,2.249695405088459e-05,-9.868596349809966e-05,1.1334478338765706,1.1359868752870705
weak_homogeneous,200,0.02,population_ate_bb,meanfield_minus_full_onestep_logistic_pi,200,-4.5383184534736886e-05,0.00021591433219141087,1.1261421926901753,1.1263408527593535
weak_homogeneous,200,0.02,sample_ate,meanfield_minus_full_onestep_logistic_pi,200,3.1597947182135936e-05,-0.00013608230539839507,1.1358149513577935,1.1370827888374813
strong_heterogeneous,200,0.02,population_ate_bb,onestep_logistic_pi_minus_raw_full,200,0.029833378161682297,-0.004480509812414533,1.0316220330926424,1.0339208810103486
strong_heterogeneous,200,0.02,sample_ate,onestep_logistic_pi_minus_raw_full,200,0.029640885712053075,-0.003992577064314388,1.0481787470707133,1.051592651028426
strong_homogeneous,200,0.02,population_ate_bb,onestep_logistic_pi_minus_raw_full,200,0.026627698230105034,0.0009450987045448955,1.0325191483795864,1.0344598533539189
strong_homogeneous,200,0.02,sample_ate,onestep_logistic_pi_minus_raw_full,200,0.026639742710068113,0.0009952349570827728,1.0529309449229474,1.0559247422320892
weak_heterogeneous,200,0.02,population_ate_bb,onestep_logistic_pi_minus_raw_full,200,0.01441333473775978,0.010762706911389433,1.0987757355256267,1.1080250278382224
weak_heterogeneous,200,0.02,sample_ate,onestep_logistic_pi_minus_raw_full,200,0.015469228896435197,0.010854059024816304,1.1145778387552463,1.1184725881542563
weak_homogeneous,200,0.02,population_ate_bb,onestep_logistic_pi_minus_raw_full,200,0.006125584816405397,0.007868522331609933,1.082034048340822,1.0894771381744859
weak_homogeneous,200,0.02,sample_ate,onestep_logistic_pi_minus_raw_full,200,0.005852893452843375,0.008477009545774385,1.0977536502881426,1.104852684057885
strong_heterogeneous,200,0.02,population_ate_bb,onestep_logistic_pi_minus_raw_meanfield,200,0.02905509917253481,-0.0046591441587628315,0.31533008310351807,0.3165208486929428
strong_heterogeneous,200,0.02,sample_ate,onestep_logistic_pi_minus_raw_meanfield,200,0.02896609881938602,-0.0035684513552330086,0.31419748777390133,0.3152082741794402
strong_homogeneous,200,0.02,population_ate_bb,onestep_logistic_pi_minus_raw_meanfield,200,0.02535863228744796,0.001363575423522249,0.2959574689860409,0.2970104348363985
strong_homogeneous,200,0.02,sample_ate,onestep_logistic_pi_minus_raw_meanfield,200,0.025687850503975297,0.0016330317505489779,0.2969106348692139,0.2985955113946365
weak_heterogeneous,200,0.02,population_ate_bb,onestep_logistic_pi_minus_raw_meanfield,200,0.012337294696467485,0.01070170214687634,0.373907011603917,0.37643839937878737
weak_heterogeneous,200,0.02,sample_ate,onestep_logistic_pi_minus_raw_meanfield,200,0.013532290006201597,0.010085294347858858,0.3735102029764228,0.3751356674998027
weak_homogeneous,200,0.02,population_ate_bb,onestep_logistic_pi_minus_raw_meanfield,200,0.005975235598318946,0.008002788434071026,0.3536498541111075,0.3556133073216796
weak_homogeneous,200,0.02,sample_ate,onestep_logistic_pi_minus_raw_meanfield,200,0.005831254136056816,0.008280689224229284,0.3536962115711512,0.3552835798557641
