run_name,run_dir,n,reps,draws,nominal_coverage,estimand,pi_clip,scenario,kind,variant,target,method,reference_method,m_threshold,n_passing_ranks,n_stably_passing_ranks,available_ranks
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,counterfactual_process,,strong_heterogeneous,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,320.0,4,4,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,counterfactual_process,,strong_homogeneous,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,320.0,4,4,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,counterfactual_process,,weak_heterogeneous,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,320.0,4,4,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,counterfactual_process,,weak_homogeneous,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,320.0,4,4,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,strong_heterogeneous,corrected_cal,corrected,true_ate_repeated_sampling,svgp_onestep_oracle_pi,true_value,160.0,7,7,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,strong_heterogeneous,corrected_eq,corrected,exact_gp_posterior,svgp_onestep_oracle_pi,exact_gp_onestep_oracle_pi,160.0,7,7,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,strong_heterogeneous,raw_cal,raw,true_ate_repeated_sampling,svgp,true_value,,0,0,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,strong_heterogeneous,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,160.0,7,7,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,strong_homogeneous,corrected_cal,corrected,true_ate_repeated_sampling,svgp_onestep_oracle_pi,true_value,160.0,7,7,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,strong_homogeneous,corrected_eq,corrected,exact_gp_posterior,svgp_onestep_oracle_pi,exact_gp_onestep_oracle_pi,160.0,7,7,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,strong_homogeneous,raw_cal,raw,true_ate_repeated_sampling,svgp,true_value,,0,0,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,strong_homogeneous,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,160.0,7,7,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,weak_heterogeneous,corrected_cal,corrected,true_ate_repeated_sampling,svgp_onestep_oracle_pi,true_value,,0,0,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,weak_heterogeneous,corrected_eq,corrected,exact_gp_posterior,svgp_onestep_oracle_pi,exact_gp_onestep_oracle_pi,160.0,7,7,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,weak_heterogeneous,raw_cal,raw,true_ate_repeated_sampling,svgp,true_value,,0,0,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,weak_heterogeneous,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,160.0,7,7,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,weak_homogeneous,corrected_cal,corrected,true_ate_repeated_sampling,svgp_onestep_oracle_pi,true_value,160.0,7,7,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,weak_homogeneous,corrected_eq,corrected,exact_gp_posterior,svgp_onestep_oracle_pi,exact_gp_onestep_oracle_pi,160.0,7,7,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,weak_homogeneous,raw_cal,raw,true_ate_repeated_sampling,svgp,true_value,,0,0,"160,240,280,320,400,480,640"
three_m_n2000_map_j1e8_r100,<source-workspace>/outputs/module5_svgp/three_m_n2000_map_j1e8_r100,2000,100,2000,0.95,population_ate_bb,0.02,weak_homogeneous,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,160.0,7,7,"160,240,280,320,400,480,640"
