scenario,rep,n_rff,pi_clip,pi_model,lengthscale_mode,initial_lengthscale,initial_treatment_lengthscale,selected_lengthscale,selected_treatment_lengthscale,mml_fit_seconds,mml_initial_log_marginal_likelihood,mml_log_marginal_likelihood,selection_initial_log_prior,selection_log_prior,selection_initial_log_posterior,selection_log_posterior,mml_success,mml_at_boundary,pi_estimate_mean,pi_estimate_min,pi_estimate_p05,pi_estimate_p95,pi_estimate_max,pi_estimate_true_rmse,pi_estimate_true_mean_abs_error,fit_seconds,meanfield_kl_to_full,coefficient_var_ratio_min,coefficient_var_ratio_median,coefficient_var_ratio_max,sample_ate_full_sd_analytic,sample_ate_full_var_total_analytic,sample_ate_full_var_diag_analytic,sample_ate_full_var_cross_analytic,sample_ate_full_cross_to_diag_ratio_analytic,sample_ate_meanfield_sd_analytic,sample_ate_meanfield_var_analytic,sample_ate_meanfield_to_full_var_ratio_analytic,sample_ate_sd_ratio_analytic,center_eif_abs_max,center_eif_abs_p95,center_aipw_signal_sd,center_correction_mean,propensity_clip_fraction,observed_inverse_weight_max,observed_inverse_weight_p95,observed_inverse_weight_ess,observed_inverse_weight_ess_fraction
strong_heterogeneous,0,200,0.02,logistic,map,0.8,0.5,1.245474053098167,0.8162348992309085,0.24081874988041818,-398.9929107443812,-395.09692100485654,-0.0,-0.872279769636011,-398.9929107443812,-395.96920077449255,1,0,0.472,0.17408005867836954,0.2629123429429913,0.6951003851537932,0.7779611823487197,0.07201200642386266,0.05799759518206839,0.012203249847516418,51.45821150106802,0.33220802137550864,0.5288740283604418,0.7873806119518982,0.1295376558706585,0.016780004288465142,0.2928087433516387,-0.27602873906317354,-0.9426929534398713,0.3906355329572152,0.15259611960876757,9.093926138842807,3.0156137250720305,6.341895821514729,3.9824236657538257,2.059797704970867,0.06406663483424464,0.0,5.101854142660754,3.207660066898859,229.5893266732997,0.9183573066931988
strong_heterogeneous,1,200,0.02,logistic,map,0.8,0.5,1.3873299806377715,0.950594126657345,0.24635404185391963,-405.5734722518995,-399.4666236555022,-0.0,-1.431713367997732,-405.5734722518995,-400.89833702349995,1,0,0.508,0.20299241337175067,0.27075519460166103,0.7187985660318834,0.8068436196588054,0.03852056675247166,0.031832762357026194,0.007045250153169036,54.06600241008944,0.3397556297870893,0.5231142385538186,0.8449340319909999,0.12988770192281493,0.016870815110790024,0.34897033577265546,-0.33209952066186543,-0.9516554463764482,0.42951426958898403,0.18448250778055847,10.935008567699226,3.306812448219467,6.907683426751004,4.398390539023847,2.1544968958332693,0.04858599969277379,0.0,4.198782882713353,3.2833092152527232,229.9943840020795,0.919977536008318
strong_heterogeneous,2,200,0.02,logistic,map,0.8,0.5,1.505353174592706,0.8962568831291249,0.2930745000485331,-385.9503816893705,-379.5404506559528,-0.0,-1.4805027849553045,-385.9503816893705,-381.0209534409081,1,0,0.48,0.16265216598648602,0.25960908453636694,0.724859623774002,0.799876765386155,0.05424689367877623,0.041742753428625635,0.01756508299149573,56.103825595951115,0.3459831338423087,0.515486642958326,0.7719046061686727,0.13107120779338496,0.0171796615124167,0.35474173989381325,-0.33756207838139657,-0.9515713557768557,0.42524281132715924,0.18083144858542594,10.525902879677165,3.2443647883179176,13.052299082015606,3.8241063846693697,2.1711309092448543,0.02892749312592608,0.0,6.148089045940434,3.3068753622586624,223.69458421845852,0.894778336873834
strong_heterogeneous,3,200,0.02,logistic,map,0.8,0.5,1.1797065479125455,0.5944402642309884,0.45455408305861056,-391.3722351762594,-388.35490647460495,-0.0,-0.36158991867908263,-391.3722351762594,-388.71649639328405,1,0,0.564,0.1850581648054621,0.27982031716575717,0.8198354447318605,0.9199541601919304,0.10187325884798445,0.08358056107511695,0.010036499937996268,50.0016433750614,0.37417319544929295,0.5350717820409258,0.7488726511975247,0.13579001972026747,0.01843892945563063,0.4883960355250561,-0.4699571060694255,-0.9622459477259933,0.49581863226520273,0.24583611610133632,13.332450600935848,3.6513628415888566,9.591052668108611,4.179696462689176,2.231275921028477,0.0706899027756905,0.0,7.580764693896332,3.7446505060929764,204.89784210973085,0.8195913684389233
strong_heterogeneous,4,200,0.02,logistic,map,0.8,0.5,1.4985078721065803,0.7953071374914148,0.8410570418927819,-395.2770968394061,-388.92036987660583,-0.0,-1.2186124559169749,-395.2770968394061,-390.1389823325228,1,0,0.548,0.23731795529868863,0.3319709530508571,0.7769340680418512,0.8482960178918123,0.09209800055684099,0.07799531698771194,0.019466124940663576,54.28711256688298,0.3726002611420304,0.5223368560481323,0.7438831060486475,0.1326249128731836,0.01758936751461954,0.564559719800798,-0.5469703522861784,-0.9688440976256225,0.5300307944907455,0.280932643108491,15.971730812662344,3.996464789368517,7.02781199902292,3.8736407015442302,2.071741817272971,0.014697046041614627,0.0,6.591784777850129,2.984560274945899,226.44465249209347,0.9057786099683739
strong_heterogeneous,5,200,0.02,logistic,map,0.8,0.5,1.659948139514783,0.7965410948157392,0.37847991613671184,-388.23329527070246,-376.232821078868,-0.0,-1.4992936125028629,-388.23329527070246,-377.7321146913709,1,0,0.5,0.18014123075460903,0.24340900183588507,0.7754718449698593,0.858787618643827,0.04864468313735685,0.03900373862716359,0.01564758294261992,57.520403140178225,0.3422479800719997,0.5128868214290152,0.7231864864202233,0.13228093416781309,0.0174982455443093,0.5998415556048675,-0.5823433100605582,-0.9708285540059584,0.5446086250577858,0.29659855448733197,16.95018816236639,4.117060621653073,8.412939394186957,4.072296361328836,2.103480091328324,0.013012697083425905,0.0,5.429707914566507,3.60512189758616,219.66370899950428,0.8786548359980171
strong_heterogeneous,6,200,0.02,logistic,map,0.8,0.5,1.6533052221868103,0.6676462686019681,0.5169958749320358,-411.17940166727,-404.55127530535304,-0.0,-1.221135598319386,-411.17940166727,-405.77241090367244,1,0,0.48,0.19042244943550055,0.23785340196346666,0.724070033451955,0.8129054990187935,0.06649395674588884,0.049999882146006966,0.010447874898090959,57.703225610595496,0.322989021205808,0.5134949076405484,0.7700679172620799,0.13156654922314567,0.017309756874486416,0.7105167826186088,-0.6932070257441224,-0.9756377930853493,0.5922811502458531,0.35079696093655083,20.265851420108927,4.501760924361591,9.563840621793455,4.353697583978963,2.293945941563253,0.029869125931899675,0.0,5.202993010295498,3.237514834591857,227.2750340494636,0.9091001361978545
strong_heterogeneous,7,200,0.02,logistic,map,0.8,0.5,1.4522777203594495,0.8134586492277247,0.32084749988280237,-378.97984794496074,-371.7196108758119,-0.0,-1.1848203108498188,-378.97984794496074,-372.9044311866617,1,0,0.48,0.10059564656991091,0.1805462185829472,0.7836810233171193,0.8623009759329419,0.0673349389281927,0.05339323261722518,0.10188849992118776,54.4795962779504,0.36117545383237004,0.5146973750703316,0.7896922445562933,0.1367041747647084,0.018688031398099936,0.5028437254825325,-0.4841556940844326,-0.962835309558319,0.5042437767487709,0.2542617863898643,13.605594991440126,3.6885762824483006,7.426811050695979,3.731295058438066,2.0028952242849813,-0.0288094188443593,0.0,6.706165367430853,3.8425234504002845,206.95794780157075,0.827831791206283
strong_heterogeneous,8,200,0.02,logistic,map,0.8,0.5,1.6441390998992895,0.8137388900221437,0.4080512919463217,-398.36283821120116,-387.59936129950097,-0.0,-1.5122376216626403,-398.36283821120116,-389.1115989211636,1,0,0.508,0.17713126173808064,0.22897676467765993,0.7710290004572764,0.8822167401274009,0.07369610300617911,0.058683067221418285,0.010446749860420823,56.75190548875876,0.33949430993813984,0.5134171740812667,0.7605495942477571,0.13277954129602523,0.01763040658678287,0.4911337068966418,-0.47350330030985893,-0.9641026336836352,0.49302477836794456,0.24307343208476084,13.787171094907572,3.713108010132155,5.939779516729837,4.103924639643602,2.026059379675669,0.04877112877633259,0.0,6.635140677618153,3.38279603569893,217.04615864357018,0.8681846345742807
strong_heterogeneous,9,200,0.02,logistic,map,0.8,0.5,1.5142089427067615,0.7779774549548452,0.5820860420353711,-387.7092125557183,-379.05926070759807,-0.0,-1.2050678295200528,-387.7092125557183,-380.2643285371181,1,0,0.48,0.1877464676033047,0.2670120108124885,0.6694312993710829,0.784574963549371,0.07150707811928017,0.057925541132831715,0.011938625015318394,57.10855697599874,0.35737722165139374,0.509998819891343,0.7429522521112287,0.12966733908755687,0.01681361882604745,0.5491920005684038,-0.5323783817423563,-0.9693848074832742,0.520429231284361,0.27084658477523094,16.108762044470684,4.013572229880843,5.1038590633153715,3.8639545299282636,1.949853685034965,0.03668832201807631,0.0,4.449831370338995,2.965731541829723,233.0765700940929,0.9323062803763715
